"Potential applied (V)","Time (s)","WE(1).Current (A)","WE(1).Potential (V)","Scan","Index","Q+","Q-","Current range","Overload"
"0.408935546875","153.32621361289","0.00063079833984375","0.40914916992188","1","587","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.411376953125","153.33597961286","0.00063720703125","0.4114990234375","1","588","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.413818359375","153.34574561284","0.00064117431640625","0.4139404296875","1","589","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.416259765625","153.35551161281","0.0006414794921875","0.4163818359375","1","590","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.418701171875","153.36527761279","0.0006488037109375","0.41888427734375","1","591","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.421142578125","153.37504361277","0.00064605712890625","0.42129516601562","1","592","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.423583984375","153.38480961274","0.00065185546875","0.42376708984375","1","593","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.426025390625","153.39457561272","0.00065155029296875","0.42620849609375","1","594","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.428466796875","153.40434161269","0.00065155029296875","0.42861938476562","1","595","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.430908203125","153.41410761267","0.000655517578125","0.43099975585938","1","596","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.433349609375","153.42387361264","0.0006512451171875","0.43344116210938","1","597","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.435791015625","153.43363961262","0.000655517578124","0.43594360351562","1","598","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.438232421875","153.44340561259","0.00065185546875","0.4383544921875","1","599","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.440673828125","153.45317161257","0.00065185546875","0.44088745117188","1","600","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.443115234375","153.46293761254","0.00065216064453125","0.44326782226562","1","601","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.445556640625","153.47270361252","0.00064727783203125","0.44570922851562","1","602","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.447998046875","153.48246961249","0.00064971923828125","0.44815063476562","1","603","0.0011514731168747","-0.0022339593410492","1 mA",""
